point_ID,set_num,game_num,point_num,serve_num,server_id,returner_id,point_winner_id,court_side,serve_speed_kph,serve_type,fault_distance_missed_m,x_ball_serve_impact,y_ball_serve_impact,z_ball_serve_impact,rally_length,point_end_type,error_type,trapped_by_net,last_stroke_type,last_hand,last_stroke_net_height_m,winner_placement,unforcedErrorPlacement,is_break_point,is_break_point_converted,is_track_avail,x_serve_bounce,y_serve_bounce,z_serve_bounce,serve_dir,z_net_serve,x_net_serve,y_net_serve,last_ball_impact_x,last_ball_impact_y,last_ball_impact_z,last_ball_bounce_x,last_ball_bounce_y,last_ball_bounce_z,serve_return_impact_x,serve_return_impact_y,serve_return_impact_z,serve_return_net_x,serve_return_net_y,serve_return_net_z,serve_return_bounce_x,serve_return_bounce_y,serve_return_bounce_z,spin_rpm,is_fault,is_doublefault,is_tiebreak,is_ace,is_prev_doublefault,is_prev_ace,server_score,returner_score
1_1_1_1,1,1,1,1,ATPO522,ATPL575,ATPO522,DeuceCourt,190 KPH,Slice,NA,-10.965,-1.28,3.084,1,Forced Error,NA,False,NA,ForeHand,3.4 Metre,NA,NA,False,False,True,4.306,2.834,0.035,Wide,,,,12.09,5.373,1.462,,,,,,,,,,,,,1200.06,0,0,0,0,0,0,0,0
NA,1,1,2,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,1,0
1_1_2_2,1,1,2,2,ATPO522,ATPL575,ATPO522,AdCourt,186 KPH,Slice,NA,-11.092,0.685,3.122,3,Winner,NA,False,NA,ForeHand,1.4 Metre,Cross Court,NA,False,False,True,5.111,-2.272,0.029,Body,,,,-6.646,-1.535,1.632,8.736,2.395,0.03,11.36,-3.144,1.442,0.0,-1.594,2.462,-3.234,-1.502,0.031,3020.34,0,0,0,0,0,0,1,0
1_1_3_1,1,1,3,1,ATPO522,ATPL575,ATPO522,DeuceCourt,193 KPH,Slice,NA,-11.025,-1.13,3.114,1,Forced Error,NA,False,NA,ForeHand,2.83 Metre,NA,NA,False,False,True,4.31,3.086,0.035,Wide,,,,11.844,5.747,1.481,-4.281,-4.615,0.033,11.844,5.747,1.481,-0.0,-2.81,2.829,-4.281,-4.615,0.033,1362.84,0,0,0,0,0,0,2,0
1_1_4_1,1,1,4,1,ATPO522,ATPL575,ATPO522,AdCourt,217 KPH,Flat,NA,-10.808,-0.004,3.064,2,Forced Error,NA,False,NA,BackHand,1.7 Metre,NA,NA,False,False,True,5.25,-3.36,0.035,Wide,,,,4.128,-5.549,3.33,-2.153,-4.615,0.033,12.773,-4.836,1.224,0.0,-6.016,1.703,-2.153,-4.615,0.033,NA,0,0,0,0,0,0,3,0
1_2_1_1,1,2,1,1,ATPL575,ATPO522,ATPL575,DeuceCourt,180 KPH,Flat,NA,-11.515,-1.282,2.792,5,Winner,NA,False,NA,ForeHand,1.48 Metre,Down the Line,NA,False,False,True,5.672,0.619,0.034,T,,,,-11.51,0.46,0.765,9.305,2.856,0.031,13.52,1.746,0.977,0.0,2.329,2.479,-8.252,2.986,0.034,2263.98,0,0,0,0,0,0,0,0
1_2_2_1,1,2,2,1,ATPL575,ATPO522,ATPL575,AdCourt,182 KPH,NA,NA,-11.617,0.934,2.773,1,Forced Error,NA,True,NA,BackHand,0.69 Metre,NA,NA,False,False,True,5.632,-2.956,0.029,Wide,,,,8.131,-3.016,1.201,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0
NA,1,2,3,1,NA,NA,NA,DeuceCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,0,2,0
1_2_3_2,1,2,3,2,ATPL575,ATPO522,ATPO522,DeuceCourt,121 KPH,Slice,NA,-11.844,-1.241,2.867,2,Winner,NA,False,NA,ForeHand,1.17 Metre,Down the Line,NA,False,False,True,4.016,2.275,0.036,Body,,,,14.507,5.558,1.02,-6.285,3.97,0.034,14.507,5.558,1.02,-0.0,4.453,1.168,-6.285,3.97,0.034,3340.92,0,0,0,0,0,0,2,0
1_2_4_1,1,2,4,1,ATPL575,ATPO522,ATPL575,AdCourt,183 KPH,Slice,NA,-11.521,0.871,2.755,1,Forced Error,NA,True,NA,ForeHand,0.7 Metre,NA,NA,False,False,True,5.145,-1.568,0.033,Body,,,,8.287,-1.767,1.378,0.673,-0.192,0.027,8.287,-1.767,1.378,0.011,-0.223,0.702,0.673,-0.192,0.027,1839.54,0,0,0,0,0,0,2,1
1_2_5_1,1,2,5,1,ATPL575,ATPO522,ATPL575,DeuceCourt,172 KPH,Slice,NA,-11.752,-0.85,2.754,7,Unforced Error,NA,True,NA,BackHand,0.93 Metre,NA,Net Error,False,False,True,5.16,3.553,0.035,Wide,,,,5.362,-2.286,1.129,0.41,-1.697,0.022,12.849,5.958,1.362,0.0,1.889,1.472,-9.685,-0.98,0.033,2066.88,0,0,0,0,0,0,3,1
1_3_1_1,1,3,1,1,ATPO522,ATPL575,ATPO522,DeuceCourt,172 KPH,NA,NA,10.962,1.059,3.048,1,Ace,NA,False,NA,ForeHand,1.06 Metre,Cross Court,NA,False,False,True,-4.093,-3.651,0.034,Wide,,,,10.962,1.059,3.048,-4.093,-3.651,0.034,,,,,,,,,,NA,0,0,0,1,0,0,0,0
NA,1,3,2,1,NA,NA,NA,AdCourt,NA,NA,NA,,,,0,Faulty Serve,NA,False,NA,NA,NA,NA,NA,False,False,False,,,,,,,,,,,,,,,,,,,,,,,NA,1,0,0,0,0,1,1,0
1_3_2_2,1,3,2,2,ATPO522,ATPL575,ATPO522,AdCourt,141 KPH,Pronated,NA,10.932,-0.784,3.025,3,Winner,NA,False,NA,BackHand,1.3 Metre,Down the Line,NA,False,False,True,-3.547,2.381,0.037,Body,,,,11.991,-3.126,1.146,-8.344,-3.776,0.034,-11.986,4.356,1.915,-0.0,0.377,1.838,7.631,-1.856,0.032,1354.38,0,0,0,0,0,0,1,0
